seed,safety_gate,evidence_gate,bias_gate,calibration_gate,traceability_gate,detection_rate,safe_throughput,fn_harm,friction,regime
42,0.5612427034737623,0.09431191979685856,0.3767239171173387,0.12334121416035701,0.1207279921817956,1.0,0.555,0.0,3.449194775910101,AR_nsga2_seed42
42,0.40055526942490627,0.1857609344227009,0.5244617242932659,0.11351663761764376,0.08195512016793957,0.8933333333333333,0.7583333333333333,21.05644876129634,3.420878051320825,AR_nsga2_seed42
42,0.46917331550554564,0.11815818405025605,0.516445731620144,0.10977251651410269,0.09322943381279201,0.9766666666666667,0.7333333333333333,4.295072701017044,3.427744122164215,AR_nsga2_seed42
42,0.4149670200307731,0.18367720295162115,0.516151625645318,0.11387394975142666,0.08250671629441818,0.92,0.7475,15.115369872747047,3.4249426077470173,AR_nsga2_seed42
42,0.39318601265814457,0.1834402741919105,0.5143324581960718,0.11707265138016133,0.07763323558571343,0.8833333333333333,0.7591666666666667,22.778674227848818,3.4145937201239644,AR_nsga2_seed42
42,0.48973731449064895,0.18530485059803417,0.5116555537798985,0.11399294047056936,0.1,0.99,0.6725,1.6680395938317016,3.4663246711859887,AR_nsga2_seed42
42,0.5172013302385856,0.16012603564947073,0.5588750820991751,0.1,0.10020894873605503,0.9966666666666667,0.6625,0.5774022888612046,3.4786755934646645,AR_nsga2_seed42
42,0.5586059289833243,0.09335611286726186,0.3903125759735569,0.12412001844733116,0.1212983706802082,1.0,0.56,0.0,3.4517459509889803,AR_nsga2_seed42
42,0.47034484635470825,0.114939525908109,0.5282919552622976,0.11031338389226016,0.09344953788840739,0.98,0.7416666666666667,3.914551491420262,3.4294637004452495,AR_nsga2_seed42
42,0.49556290137469156,0.17680222489843614,0.4224429593942957,0.1,0.08056853466306417,0.9966666666666667,0.6316666666666667,0.5774022888612046,3.4369325566226356,AR_nsga2_seed42
42,0.48210851391182985,0.17892497136823474,0.4250519344686184,0.11215345873788415,0.08043937352200724,0.99,0.6433333333333333,1.6680395938317016,3.4354624712780537,AR_nsga2_seed42
42,0.4050419595604274,0.17110046985089958,0.5752428066314066,0.11262421818669922,0.10465164250007018,0.9,0.7708333333333334,19.06649615444816,3.4363071969717525,AR_nsga2_seed42
42,0.5679699645283325,0.10568565184165911,0.28466155532137416,0.0847689523521454,0.08195462204703426,1.0,0.4733333333333334,0.0,3.4174013342100817,AR_nsga2_seed42
42,0.46497833041304143,0.16789500599426982,0.41886945648102436,0.09975854891598146,0.1,0.9766666666666667,0.6683333333333333,4.001102839980462,3.4226629255294023,AR_nsga2_seed42
42,0.40307550168478207,0.18577377387854227,0.47463845558090323,0.11349958577809022,0.1,0.9,0.7275,19.06896299546735,3.4174576438276065,AR_nsga2_seed42
42,0.40132596364775774,0.19542561128010885,0.521937502942901,0.1,0.08147471872464206,0.8966666666666666,0.755,19.880955644940375,3.4195506854639497,AR_nsga2_seed42
42,0.5619315003037528,0.11346695908977483,0.1,0.07798879537758026,0.07703725355729876,1.0,0.1958333333333333,0.0,3.400744049982506,AR_nsga2_seed42
42,0.47624563538857817,0.18680312328172177,0.5224780480363885,0.11468041541179363,0.05812623578052041,0.9866666666666667,0.6858333333333333,2.330569893706529,3.451534724481102,AR_nsga2_seed42
42,0.40420753876713494,0.18656804466290758,0.5048762067757088,0.1,0.09745640386247838,0.9,0.7466666666666667,19.06896299546735,3.4192090439068186,AR_nsga2_seed42
42,0.47896636069995724,0.16751364801173563,0.40614065701837126,0.1,0.09922481713947023,0.9866666666666667,0.6383333333333333,2.330569893706529,3.4281976126366303,AR_nsga2_seed42
42,0.4056655613543838,0.18466472650512586,0.5211839252377848,0.1134677243812823,0.08215727606167005,0.9,0.7525,19.06649615444816,3.4221967653911567,AR_nsga2_seed42
42,0.5143635448151881,0.16114484219348502,0.4984649001559314,0.10973238991362577,0.10018802120844486,0.9966666666666667,0.6483333333333333,0.5774022888612046,3.4659869288377014,AR_nsga2_seed42
42,0.5146706000153657,0.1605114106511167,0.49755069841319005,0.10975194089199004,0.1,0.9966666666666667,0.6466666666666666,0.5774022888612046,3.4657793742676417,AR_nsga2_seed42
